Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.092
Comp. Cola Columna,Au 242.80,0.003
Barren,Au 242.80,0.009
Cabeza puntual retorno,Au 242.80,0.094
Celda # 11-A,Au 242.80,0.054
Celda # 11-B,Au 242.80,0.008
Celda # 11-C,Au 242.80,0.009
Celda # 6-F2,Au 242.80,0.169
Celda #5-9,Au 242.80,0.046
Celda #(F1+F2),Au 242.80,0.098
NE Tubo 1,Au 242.80,0.009
NE Tubo 2,Au 242.80,0.097
NE Tubo 4,Au 242.80,0.046
NE Tubo 5,Au 242.80,0.037
NE Tubo 6,Au 242.80,0.024
NE Tubo 7,Au 242.80,0.048
Puntual Noroeste,Au 242.80,0.095
Barren Patios,Au 242.80,0.011
Tubo 3,Au 242.80,0.185
Especial 1,Au 242.80,0.064
Especial 2,Au 242.80,0.052
Especial 3,Au 242.80,0.007
Especial 4,Au 242.80,0.01
Especial 5,Au 242.80,0.065
Especial 6,Au 242.80,0.006
